,Estado,Acesso a internet em casa,Acesso através de 3g ou 4g,Acesso por banda larga,Acesso por microcomputador,Acesso por celular,Número de TV de tela fina,Número de TV de tubo,Tem TV por assinatura,Tem TV por sinal aberto
64653,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0
64654,31,2.0,4.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0
64655,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
64656,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
64657,31,2.0,4.0,2.0,2.0,2.0,5.0,0.0,1.0,1.0
64660,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
64662,31,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0
64663,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
64667,31,2.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0
64668,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
64670,31,2.0,2.0,4.0,4.0,4.0,0.0,1.0,1.0,1.0
64674,31,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0
64676,31,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0
64677,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
64678,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
64679,31,2.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,3.0
64680,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
64681,31,2.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0
64682,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
64683,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64684,31,2.0,2.0,4.0,2.0,2.0,1.0,0.0,3.0,1.0
64685,31,2.0,2.0,4.0,2.0,2.0,1.0,0.0,3.0,1.0
64686,31,2.0,2.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64689,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
64690,31,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
64697,31,2.0,2.0,4.0,2.0,2.0,0.0,1.0,3.0,3.0
64699,31,2.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
64702,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0
64703,31,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0
64705,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0
64706,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
64707,31,2.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0
64713,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,3.0,1.0
64714,31,2.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0
64715,31,2.0,2.0,4.0,2.0,4.0,3.0,0.0,1.0,1.0
64716,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
64718,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
